contact_id,customer_id,channel,sent_at,hour_sent,days_before_due_at_contact,responded,responded_within_hours,outcome
CT-000051,C00017,CALL,2026-06-18 06:00:00,6,6,False,,IGNORED
CT-000052,C00017,SMS,2026-06-15 09:00:00,9,6,True,2.15,ANSWERED
CT-000053,C00017,SMS,2026-07-20 06:00:00,6,8,True,3.41,ANSWERED
CT-000054,C00018,APP_PUSH,2026-09-05 22:00:00,22,8,False,,IGNORED
CT-000055,C00019,WHATSAPP,2026-08-05 08:00:00,8,3,False,,IGNORED
CT-000056,C00019,WHATSAPP,2026-06-23 12:00:00,12,2,True,0.13,ANSWERED
CT-000057,C00019,WHATSAPP,2026-09-03 08:00:00,8,2,True,5.3,ANSWERED
CT-000058,C00020,CALL,2026-07-01 15:00:00,15,7,False,,IGNORED
CT-000059,C00020,CALL,2026-08-10 17:00:00,17,5,False,,IGNORED
CT-000060,C00021,CALL,2026-07-27 09:00:00,9,0,False,,IGNORED
CT-000061,C00021,WHATSAPP,2026-07-24 16:00:00,16,1,False,,IGNORED
CT-000062,C00021,SMS,2026-08-27 17:00:00,17,0,True,0.91,ANSWERED
CT-000063,C00021,SMS,2026-07-19 13:00:00,13,4,True,1.63,ANSWERED
CT-000064,C00022,CALL,2026-07-09 17:00:00,17,3,False,,IGNORED
CT-000065,C00022,SMS,2026-07-25 18:00:00,18,3,False,,IGNORED
CT-000066,C00023,APP_PUSH,2026-07-25 15:00:00,15,4,False,,IGNORED
CT-000067,C00023,APP_PUSH,2026-07-07 20:00:00,20,1,False,,IGNORED
CT-000068,C00023,APP_PUSH,2026-07-16 19:00:00,19,3,True,0.15,ANSWERED
CT-000069,C00023,APP_PUSH,2026-07-13 11:00:00,11,0,False,,IGNORED
CT-000070,C00024,APP_PUSH,2026-08-12 16:00:00,16,1,True,3.07,ANSWERED
CT-000071,C00024,APP_PUSH,2026-07-10 12:00:00,12,2,False,,IGNORED
CT-000072,C00024,CALL,2026-07-22 14:00:00,14,6,False,,IGNORED
CT-000073,C00025,CALL,2026-09-12 06:00:00,6,0,False,,IGNORED
CT-000074,C00025,WHATSAPP,2026-07-30 09:00:00,9,2,True,2.29,ANSWERED
CT-000075,C00026,SMS,2026-08-06 22:00:00,22,8,True,0.69,ANSWERED
CT-000076,C00027,CALL,2026-07-06 20:00:00,20,3,False,,IGNORED
CT-000077,C00027,APP_PUSH,2026-08-12 17:00:00,17,5,True,5.92,ANSWERED
CT-000078,C00027,APP_PUSH,2026-07-29 17:00:00,17,7,False,,REJECTED
CT-000079,C00028,APP_PUSH,2026-09-08 11:00:00,11,5,True,3.21,ANSWERED
CT-000080,C00028,APP_PUSH,2026-09-05 04:00:00,4,7,False,,REJECTED
CT-000081,C00028,CALL,2026-07-25 05:00:00,5,0,True,0.04,ANSWERED
CT-000082,C00029,APP_PUSH,2026-08-12 17:00:00,17,3,False,,REJECTED
CT-000083,C00029,APP_PUSH,2026-07-25 16:00:00,16,3,True,0.84,ANSWERED
CT-000084,C00029,SMS,2026-06-17 13:00:00,13,-2,False,,IGNORED
CT-000085,C00030,CALL,2026-09-05 10:00:00,10,2,True,2.11,ANSWERED
CT-000086,C00030,CALL,2026-06-21 05:00:00,5,6,True,0.01,ANSWERED
CT-000087,C00030,CALL,2026-08-05 09:00:00,9,4,False,,IGNORED
CT-000088,C00030,CALL,2026-07-12 10:00:00,10,2,True,0.37,ANSWERED
CT-000089,C00030,SMS,2026-08-24 15:00:00,15,9,True,2.78,ANSWERED
CT-000090,C00030,SMS,2026-06-16 09:00:00,9,9,False,,IGNORED
CT-000091,C00030,APP_PUSH,2026-08-28 07:00:00,7,6,True,0.97,ANSWERED
CT-000092,C00031,APP_PUSH,2026-07-24 04:00:00,4,3,False,,IGNORED
CT-000093,C00031,SMS,2026-08-07 07:00:00,7,4,False,,IGNORED
CT-000094,C00031,CALL,2026-07-30 11:00:00,11,2,False,,IGNORED
CT-000095,C00032,CALL,2026-06-21 15:00:00,15,7,False,,IGNORED
CT-000096,C00032,SMS,2026-06-25 22:00:00,22,7,False,,IGNORED
CT-000097,C00032,CALL,2026-09-07 13:00:00,13,4,False,,REJECTED
CT-000098,C00032,CALL,2026-07-06 17:00:00,17,2,True,1.55,ANSWERED
CT-000099,C00032,CALL,2026-07-17 19:00:00,19,5,False,,IGNORED
CT-000100,C00033,WHATSAPP,2026-07-10 17:00:00,17,7,False,,REJECTED
CT-000101,C00033,WHATSAPP,2026-07-31 15:00:00,15,3,True,2.19,ANSWERED
CT-000102,C00033,SMS,2026-09-01 18:00:00,18,3,False,,IGNORED
CT-000103,C00034,WHATSAPP,2026-09-04 18:00:00,18,8,False,,BOUNCED
CT-000104,C00035,APP_PUSH,2026-07-09 11:00:00,11,4,False,,IGNORED
CT-000105,C00035,SMS,2026-08-05 13:00:00,13,9,False,,REJECTED
CT-000106,C00035,SMS,2026-07-16 15:00:00,15,9,False,,IGNORED
CT-000107,C00036,APP_PUSH,2026-07-11 18:00:00,18,5,False,,IGNORED
CT-000108,C00037,APP_PUSH,2026-08-22 15:00:00,15,4,True,1.21,ANSWERED
CT-000109,C00037,APP_PUSH,2026-08-19 04:00:00,4,6,False,,IGNORED
CT-000110,C00037,APP_PUSH,2026-06-30 16:00:00,16,3,False,,IGNORED
CT-000111,C00037,CALL,2026-07-07 13:00:00,13,4,True,0.04,ANSWERED
CT-000112,C00038,WHATSAPP,2026-09-05 08:00:00,8,5,False,,IGNORED
CT-000113,C00038,CALL,2026-08-22 11:00:00,11,5,False,,BOUNCED
CT-000114,C00038,WHATSAPP,2026-08-03 15:00:00,15,2,False,,IGNORED
CT-000115,C00039,WHATSAPP,2026-07-03 22:00:00,22,1,True,1.64,ANSWERED
CT-000116,C00039,WHATSAPP,2026-07-21 22:00:00,22,5,False,,BOUNCED
CT-000117,C00039,WHATSAPP,2026-09-09 20:00:00,20,4,False,,IGNORED
CT-000118,C00039,WHATSAPP,2026-08-19 18:00:00,18,7,True,0.98,ANSWERED
CT-000119,C00040,WHATSAPP,2026-07-01 20:00:00,20,3,False,,REJECTED
CT-000120,C00040,WHATSAPP,2026-08-15 20:00:00,20,5,True,0.28,ANSWERED
CT-000121,C00040,WHATSAPP,2026-09-05 14:00:00,14,3,True,5.61,ANSWERED
CT-000122,C00040,WHATSAPP,2026-07-07 18:00:00,18,4,True,0.82,ANSWERED
CT-000123,C00040,WHATSAPP,2026-08-13 18:00:00,18,5,True,0.23,ANSWERED
CT-000124,C00041,APP_PUSH,2026-09-04 17:00:00,17,0,False,,IGNORED
CT-000125,C00041,APP_PUSH,2026-06-25 05:00:00,5,0,False,,IGNORED
CT-000126,C00041,APP_PUSH,2026-09-07 08:00:00,8,4,False,,BOUNCED
CT-000127,C00043,WHATSAPP,2026-09-03 07:00:00,7,9,False,,IGNORED
CT-000128,C00044,WHATSAPP,2026-07-17 12:00:00,12,2,False,,BOUNCED
CT-000129,C00045,CALL,2026-07-21 15:00:00,15,4,False,,IGNORED
CT-000130,C00045,CALL,2026-08-25 11:00:00,11,8,True,0.41,ANSWERED
CT-000131,C00045,WHATSAPP,2026-07-05 09:00:00,9,6,False,,BOUNCED
CT-000132,C00045,CALL,2026-07-15 09:00:00,9,6,False,,IGNORED
CT-000133,C00045,CALL,2026-07-18 07:00:00,7,7,True,3.1,ANSWERED
CT-000134,C00046,CALL,2026-07-31 14:00:00,14,7,False,,IGNORED
CT-000135,C00046,WHATSAPP,2026-08-26 09:00:00,9,1,False,,IGNORED
CT-000136,C00046,WHATSAPP,2026-09-03 11:00:00,11,5,False,,IGNORED
CT-000137,C00046,SMS,2026-09-09 10:00:00,10,5,True,0.03,ANSWERED
CT-000138,C00047,APP_PUSH,2026-06-21 15:00:00,15,8,True,1.25,ANSWERED
CT-000139,C00047,APP_PUSH,2026-08-23 14:00:00,14,7,True,0.31,ANSWERED
CT-000140,C00048,APP_PUSH,2026-08-14 07:00:00,7,6,False,,IGNORED
CT-000141,C00048,APP_PUSH,2026-09-09 10:00:00,10,4,False,,IGNORED
CT-000142,C00048,APP_PUSH,2026-07-25 03:00:00,3,4,False,,IGNORED
CT-000143,C00049,CALL,2026-07-21 16:00:00,16,4,False,,IGNORED
CT-000144,C00049,CALL,2026-08-24 19:00:00,19,4,False,,IGNORED
CT-000145,C00049,CALL,2026-08-02 14:00:00,14,4,True,2.24,ANSWERED
CT-000146,C00050,APP_PUSH,2026-08-22 06:00:00,6,8,False,,BOUNCED
CT-000147,C00051,SMS,2026-08-15 16:00:00,16,2,False,,IGNORED
CT-000148,C00051,SMS,2026-08-05 17:00:00,17,4,False,,BOUNCED
CT-000149,C00053,SMS,2026-06-25 07:00:00,7,6,False,,IGNORED
CT-000150,C00053,SMS,2026-06-22 10:00:00,10,7,False,,REJECTED
CT-000151,C00053,WHATSAPP,2026-06-20 10:00:00,10,7,True,2.28,ANSWERED
CT-000152,C00054,APP_PUSH,2026-06-27 13:00:00,13,3,False,,IGNORED
CT-000153,C00054,CALL,2026-08-06 11:00:00,11,5,False,,REJECTED
CT-000154,C00054,APP_PUSH,2026-06-26 09:00:00,9,6,False,,IGNORED
CT-000155,C00055,WHATSAPP,2026-07-10 05:00:00,5,6,False,,IGNORED
CT-000156,C00055,CALL,2026-06-15 06:00:00,6,0,False,,IGNORED
CT-000157,C00055,CALL,2026-06-22 07:00:00,7,0,False,,REJECTED
CT-000158,C00055,SMS,2026-07-02 11:00:00,11,3,False,,IGNORED
CT-000159,C00055,CALL,2026-07-31 06:00:00,6,5,False,,IGNORED
CT-000160,C00055,APP_PUSH,2026-07-02 06:00:00,6,0,False,,IGNORED
CT-000161,C00056,SMS,2026-08-02 12:00:00,12,5,True,3.55,ANSWERED
CT-000162,C00056,SMS,2026-06-17 15:00:00,15,4,True,9.05,ANSWERED
CT-000163,C00056,SMS,2026-08-31 03:00:00,3,1,False,,IGNORED
CT-000164,C00056,SMS,2026-08-04 09:00:00,9,0,False,,IGNORED
CT-000165,C00056,SMS,2026-07-03 10:00:00,10,2,False,,IGNORED
CT-000166,C00057,APP_PUSH,2026-08-15 11:00:00,11,10,True,0.74,ANSWERED
CT-000167,C00057,APP_PUSH,2026-08-16 15:00:00,15,7,False,,IGNORED
CT-000168,C00057,CALL,2026-07-23 12:00:00,12,7,False,,IGNORED
CT-000169,C00057,CALL,2026-09-03 12:00:00,12,11,False,,IGNORED
CT-000170,C00058,WHATSAPP,2026-09-12 17:00:00,17,6,False,,REJECTED
CT-000171,C00058,SMS,2026-08-07 15:00:00,15,7,True,0.47,ANSWERED
CT-000172,C00058,SMS,2026-09-10 17:00:00,17,2,True,6.14,ANSWERED
CT-000173,C00058,SMS,2026-07-12 21:00:00,21,5,False,,IGNORED
CT-000174,C00059,SMS,2026-08-18 11:00:00,11,0,True,1.38,ANSWERED
CT-000175,C00059,CALL,2026-08-29 09:00:00,9,4,False,,IGNORED
CT-000176,C00059,CALL,2026-08-26 06:00:00,6,1,False,,IGNORED
CT-000177,C00059,SMS,2026-08-02 06:00:00,6,2,False,,IGNORED
CT-000178,C00059,CALL,2026-08-16 12:00:00,12,0,False,,REJECTED
CT-000179,C00059,CALL,2026-07-15 14:00:00,14,3,False,,REJECTED
CT-000180,C00060,WHATSAPP,2026-06-30 13:00:00,13,7,True,2.28,ANSWERED
CT-000181,C00060,WHATSAPP,2026-08-22 14:00:00,14,7,False,,IGNORED
CT-000182,C00061,SMS,2026-08-11 11:00:00,11,3,False,,IGNORED
CT-000183,C00061,APP_PUSH,2026-08-14 14:00:00,14,2,False,,IGNORED
CT-000184,C00061,SMS,2026-09-08 13:00:00,13,1,False,,IGNORED
CT-000185,C00062,APP_PUSH,2026-06-19 15:00:00,15,2,False,,IGNORED
CT-000186,C00062,SMS,2026-07-22 15:00:00,15,4,True,2.37,ANSWERED
CT-000187,C00063,SMS,2026-08-18 13:00:00,13,1,False,,IGNORED
CT-000188,C00063,CALL,2026-06-29 10:00:00,10,8,False,,IGNORED
CT-000189,C00063,WHATSAPP,2026-06-17 14:00:00,14,8,False,,IGNORED
CT-000190,C00063,SMS,2026-08-25 04:00:00,4,4,False,,IGNORED
CT-000191,C00063,CALL,2026-06-29 12:00:00,12,5,True,0.18,ANSWERED
CT-000192,C00064,APP_PUSH,2026-08-19 19:00:00,19,7,False,,IGNORED
CT-000193,C00064,WHATSAPP,2026-07-18 18:00:00,18,3,False,,IGNORED
CT-000194,C00064,WHATSAPP,2026-08-26 15:00:00,15,9,True,0.14,ANSWERED
CT-000195,C00065,CALL,2026-06-19 21:00:00,21,7,True,0.34,ANSWERED
CT-000196,C00065,CALL,2026-07-27 22:00:00,22,10,False,,IGNORED
CT-000197,C00065,WHATSAPP,2026-07-05 18:00:00,18,5,False,,IGNORED
CT-000198,C00066,APP_PUSH,2026-07-28 12:00:00,12,0,False,,IGNORED
CT-000199,C00066,CALL,2026-08-01 10:00:00,10,0,False,,IGNORED
CT-000200,C00066,WHATSAPP,2026-07-08 12:00:00,12,3,True,2.66,ANSWERED
CT-000201,C00066,WHATSAPP,2026-07-25 15:00:00,15,0,False,,IGNORED
CT-000202,C00066,WHATSAPP,2026-06-28 16:00:00,16,1,True,3.19,ANSWERED
CT-000203,C00066,WHATSAPP,2026-08-04 12:00:00,12,1,True,3.06,ANSWERED
CT-000204,C00066,WHATSAPP,2026-09-05 16:00:00,16,3,False,,IGNORED
CT-000205,C00067,WHATSAPP,2026-08-04 11:00:00,11,4,False,,IGNORED
CT-000206,C00068,WHATSAPP,2026-08-27 08:00:00,8,6,False,,IGNORED
CT-000207,C00068,WHATSAPP,2026-09-03 10:00:00,10,8,False,,REJECTED
CT-000208,C00068,WHATSAPP,2026-09-11 16:00:00,16,3,True,2.06,ANSWERED
CT-000209,C00068,WHATSAPP,2026-07-20 06:00:00,6,2,False,,IGNORED
CT-000210,C00068,WHATSAPP,2026-08-27 08:00:00,8,7,False,,BOUNCED
CT-000211,C00069,CALL,2026-09-12 14:00:00,14,4,True,0.88,ANSWERED
CT-000212,C00069,CALL,2026-08-14 03:00:00,3,3,True,1.15,ANSWERED
CT-000213,C00069,CALL,2026-06-17 09:00:00,9,3,False,,IGNORED
CT-000214,C00069,CALL,2026-08-31 09:00:00,9,4,True,1.31,ANSWERED
CT-000215,C00069,CALL,2026-06-17 09:00:00,9,7,False,,IGNORED
CT-000216,C00070,WHATSAPP,2026-09-12 20:00:00,20,8,False,,IGNORED
CT-000217,C00070,CALL,2026-07-06 16:00:00,16,9,False,,IGNORED
CT-000218,C00071,WHATSAPP,2026-08-08 12:00:00,12,7,False,,IGNORED
CT-000219,C00071,APP_PUSH,2026-06-19 12:00:00,12,8,False,,REJECTED
CT-000220,C00072,WHATSAPP,2026-06-29 17:00:00,17,4,True,0.95,ANSWERED
CT-000221,C00072,APP_PUSH,2026-08-11 15:00:00,15,6,False,,IGNORED
CT-000222,C00073,WHATSAPP,2026-09-04 17:00:00,17,6,True,3.19,ANSWERED
CT-000223,C00074,SMS,2026-07-12 19:00:00,19,2,False,,IGNORED
CT-000224,C00074,APP_PUSH,2026-06-23 10:00:00,10,0,True,1.05,ANSWERED
CT-000225,C00075,SMS,2026-09-11 18:00:00,18,4,True,5.1,ANSWERED
CT-000226,C00075,SMS,2026-08-31 22:00:00,22,6,False,,BOUNCED
CT-000227,C00075,WHATSAPP,2026-08-10 17:00:00,17,3,False,,IGNORED
CT-000228,C00076,APP_PUSH,2026-08-17 16:00:00,16,0,True,2.91,ANSWERED
CT-000229,C00076,WHATSAPP,2026-07-29 16:00:00,16,1,False,,IGNORED
CT-000230,C00076,APP_PUSH,2026-06-16 16:00:00,16,0,False,,IGNORED
CT-000231,C00076,CALL,2026-08-26 18:00:00,18,6,False,,IGNORED
CT-000232,C00076,WHATSAPP,2026-08-27 15:00:00,15,2,False,,IGNORED
CT-000233,C00078,APP_PUSH,2026-07-08 07:00:00,7,2,False,,IGNORED
CT-000234,C00078,SMS,2026-08-16 07:00:00,7,4,False,,IGNORED
CT-000235,C00078,CALL,2026-08-09 07:00:00,7,2,False,,IGNORED
CT-000236,C00078,CALL,2026-09-07 03:00:00,3,4,False,,IGNORED
CT-000237,C00079,SMS,2026-07-07 03:00:00,3,5,False,,IGNORED
CT-000238,C00079,WHATSAPP,2026-07-13 10:00:00,10,5,True,1.37,ANSWERED
CT-000239,C00079,WHATSAPP,2026-08-13 16:00:00,16,6,False,,IGNORED
CT-000240,C00080,SMS,2026-08-23 17:00:00,17,6,True,0.55,ANSWERED
CT-000241,C00080,WHATSAPP,2026-08-12 14:00:00,14,4,False,,REJECTED
CT-000242,C00080,APP_PUSH,2026-08-17 12:00:00,12,6,False,,IGNORED
CT-000243,C00080,APP_PUSH,2026-07-07 11:00:00,11,3,True,1.34,ANSWERED
CT-000244,C00081,SMS,2026-08-27 16:00:00,16,1,False,,BOUNCED
CT-000245,C00081,SMS,2026-07-31 13:00:00,13,1,False,,IGNORED
CT-000246,C00081,CALL,2026-09-04 13:00:00,13,0,False,,REJECTED
CT-000247,C00082,SMS,2026-08-12 18:00:00,18,2,False,,IGNORED
CT-000248,C00082,WHATSAPP,2026-07-19 20:00:00,20,2,False,,IGNORED
CT-000249,C00082,SMS,2026-07-10 18:00:00,18,2,True,0.42,ANSWERED
CT-000250,C00083,CALL,2026-07-06 13:00:00,13,2,False,,IGNORED
CT-000251,C00083,CALL,2026-09-03 12:00:00,12,5,True,0.01,ANSWERED
CT-000252,C00084,SMS,2026-08-12 21:00:00,21,8,False,,IGNORED
CT-000253,C00084,CALL,2026-08-05 15:00:00,15,5,False,,REJECTED
CT-000254,C00084,APP_PUSH,2026-06-28 16:00:00,16,6,True,0.23,ANSWERED
CT-000255,C00085,WHATSAPP,2026-07-18 17:00:00,17,4,True,0.3,ANSWERED
CT-000256,C00085,WHATSAPP,2026-07-10 06:00:00,6,4,False,,REJECTED
CT-000257,C00085,WHATSAPP,2026-09-02 11:00:00,11,4,True,0.68,ANSWERED
CT-000258,C00085,SMS,2026-08-23 08:00:00,8,4,False,,IGNORED
CT-000259,C00085,WHATSAPP,2026-06-30 12:00:00,12,2,True,1.31,ANSWERED
CT-000260,C00085,WHATSAPP,2026-06-22 09:00:00,9,5,False,,REJECTED
CT-000261,C00085,WHATSAPP,2026-07-27 11:00:00,11,6,True,0.47,ANSWERED
CT-000262,C00085,WHATSAPP,2026-07-15 15:00:00,15,4,False,,BOUNCED
CT-000263,C00086,CALL,2026-08-30 13:00:00,13,9,False,,BOUNCED
CT-000264,C00086,CALL,2026-07-09 20:00:00,20,8,True,1.42,ANSWERED
CT-000265,C00087,SMS,2026-06-17 06:00:00,6,6,False,,IGNORED
CT-000266,C00087,APP_PUSH,2026-06-17 13:00:00,13,10,False,,REJECTED
CT-000267,C00088,CALL,2026-08-31 14:00:00,14,9,True,0.41,ANSWERED
CT-000268,C00088,CALL,2026-07-01 11:00:00,11,7,False,,IGNORED
CT-000269,C00088,WHATSAPP,2026-08-07 11:00:00,11,7,False,,IGNORED
CT-000270,C00088,SMS,2026-08-15 08:00:00,8,6,False,,REJECTED
CT-000271,C00089,CALL,2026-08-07 09:00:00,9,9,False,,IGNORED
CT-000272,C00089,APP_PUSH,2026-08-28 07:00:00,7,3,False,,REJECTED
CT-000273,C00090,WHATSAPP,2026-06-24 21:00:00,21,7,False,,IGNORED
CT-000274,C00090,SMS,2026-09-10 15:00:00,15,9,False,,IGNORED
CT-000275,C00090,SMS,2026-09-05 21:00:00,21,6,False,,REJECTED
CT-000276,C00090,WHATSAPP,2026-07-08 15:00:00,15,6,False,,IGNORED
CT-000277,C00091,SMS,2026-09-05 18:00:00,18,6,False,,IGNORED
CT-000278,C00092,APP_PUSH,2026-07-21 12:00:00,12,8,False,,IGNORED
CT-000279,C00092,CALL,2026-07-16 07:00:00,7,3,False,,IGNORED
CT-000280,C00092,APP_PUSH,2026-07-23 06:00:00,6,8,False,,BOUNCED
CT-000281,C00092,CALL,2026-08-20 08:00:00,8,7,False,,IGNORED
CT-000282,C00093,APP_PUSH,2026-09-01 09:00:00,9,5,True,1.27,ANSWERED
CT-000283,C00094,APP_PUSH,2026-07-22 12:00:00,12,4,False,,REJECTED
CT-000284,C00094,SMS,2026-07-01 21:00:00,21,4,False,,IGNORED
CT-000285,C00094,APP_PUSH,2026-08-05 15:00:00,15,5,False,,IGNORED
CT-000286,C00095,SMS,2026-08-16 18:00:00,18,7,False,,IGNORED
CT-000287,C00095,APP_PUSH,2026-08-18 16:00:00,16,9,False,,BOUNCED
CT-000288,C00096,CALL,2026-09-11 12:00:00,12,8,True,0.81,ANSWERED
CT-000289,C00096,CALL,2026-08-28 06:00:00,6,9,False,,IGNORED
CT-000290,C00096,CALL,2026-06-23 08:00:00,8,6,False,,IGNORED
CT-000291,C00096,CALL,2026-08-04 09:00:00,9,5,True,0.54,ANSWERED
CT-000292,C00096,CALL,2026-07-24 08:00:00,8,10,False,,IGNORED
CT-000293,C00096,CALL,2026-08-06 08:00:00,8,7,False,,REJECTED
CT-000294,C00098,SMS,2026-06-23 11:00:00,11,3,False,,REJECTED
CT-000295,C00098,WHATSAPP,2026-06-19 12:00:00,12,0,True,0.98,ANSWERED
CT-000296,C00099,WHATSAPP,2026-07-26 08:00:00,8,3,False,,REJECTED
CT-000297,C00099,SMS,2026-08-25 07:00:00,7,5,False,,IGNORED
CT-000298,C00099,CALL,2026-08-30 04:00:00,4,4,True,0.08,ANSWERED
CT-000299,C00100,WHATSAPP,2026-07-17 19:00:00,19,2,False,,IGNORED
CT-000300,C00100,WHATSAPP,2026-07-04 18:00:00,18,9,True,3.44,ANSWERED
CT-000301,C00100,WHATSAPP,2026-07-12 22:00:00,22,8,False,,IGNORED
CT-000302,C00100,WHATSAPP,2026-06-15 19:00:00,19,3,True,8.24,ANSWERED
CT-000303,C00100,WHATSAPP,2026-07-30 13:00:00,13,4,False,,IGNORED
CT-000304,C00100,SMS,2026-06-15 19:00:00,19,5,False,,IGNORED
CT-000305,C00101,SMS,2026-06-30 12:00:00,12,3,True,2.49,ANSWERED
CT-000306,C00101,SMS,2026-07-10 10:00:00,10,4,True,0.56,ANSWERED
CT-000307,C00101,SMS,2026-08-01 08:00:00,8,6,True,0.14,ANSWERED
CT-000308,C00101,SMS,2026-09-06 13:00:00,13,5,False,,IGNORED
CT-000309,C00101,SMS,2026-09-11 09:00:00,9,4,False,,IGNORED
CT-000310,C00101,SMS,2026-06-30 12:00:00,12,5,True,2.03,ANSWERED
CT-000311,C00101,SMS,2026-06-23 12:00:00,12,3,True,1.63,ANSWERED
CT-000312,C00102,SMS,2026-08-13 12:00:00,12,8,True,0.13,ANSWERED
CT-000313,C00103,CALL,2026-08-21 13:00:00,13,6,True,6.16,ANSWERED
CT-000314,C00103,APP_PUSH,2026-09-06 14:00:00,14,6,False,,IGNORED
CT-000315,C00104,SMS,2026-06-21 20:00:00,20,1,False,,REJECTED
CT-000316,C00104,APP_PUSH,2026-07-19 17:00:00,17,3,True,0.46,ANSWERED
CT-000317,C00104,APP_PUSH,2026-06-18 17:00:00,17,6,False,,IGNORED
CT-000318,C00104,APP_PUSH,2026-09-09 19:00:00,19,2,True,0.57,ANSWERED
CT-000319,C00104,APP_PUSH,2026-08-18 22:00:00,22,5,False,,REJECTED
CT-000320,C00105,CALL,2026-07-31 06:00:00,6,3,True,1.02,ANSWERED
