intervention_id,customer_id,situation_hint,low_digital_response,risk_level,decision,channel_used,channel_source,recommended_action,credit_product,digital_capability,needs_guided_help,complex_case
IV-000014,C00419,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D1,False,False
IV-000015,C01126,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000016,C02892,S1,True,HIGH,INTERVENE,APP_PUSH,MODEL_LEVEL1,CHANNEL_SWITCH,OVERDRAFT_ELITE,D1,False,False
IV-000017,C00642,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D3,True,False
IV-000018,C02412,S1,True,HIGH,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D2,False,False
IV-000019,C00163,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000020,C01525,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D1,False,False
IV-000021,C01879,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,STUDENT_LOAN,D3,True,False
IV-000022,C01529,S1,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_MORTGAGE_BACKED,D1,False,False
IV-000023,C02761,S1,False,HIGH,INTERVENE,SMS,MODEL_LEVEL1,SIMPLE_REMINDER,EXTRA_FINANCING,D1,False,False
IV-000024,C00102,S1,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,CREDICHEQUE,D2,False,False
IV-000025,C01233,S0,True,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,CHANNEL_SWITCH,CREDICHEQUE,D1,False,False
IV-000026,C02298,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,STUDENT_LOAN,D1,False,False
IV-000027,C01097,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D2,False,False
IV-000028,C02403,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,VEHICLE_LOAN,D1,False,False
IV-000029,C00059,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D1,False,False
IV-000030,C01363,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000031,C02147,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,STUDENT_LOAN,D2,False,False
IV-000032,C02459,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,CREDICHEQUE,D1,False,False
IV-000033,C00869,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000034,C01325,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000035,C02392,S1,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000036,C00908,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000037,C02530,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000038,C01913,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000039,C01771,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D1,False,False
IV-000040,C02655,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000041,C00819,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D2,False,False
IV-000042,C01184,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000043,C02976,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_MORTGAGE_BACKED,D1,False,False
IV-000044,C01259,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000045,C02529,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D1,False,False
IV-000046,C01635,S1,True,HIGH,INTERVENE,CALL,MODEL_LEVEL1,CHANNEL_SWITCH,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000047,C01574,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000048,C01486,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D1,False,False
IV-000049,C01468,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D2,False,False
IV-000050,C00365,S0,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,SALARY_ADVANCE,D3,True,False
IV-000051,C01368,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000052,C02450,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D3,True,False
IV-000053,C02512,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_MORTGAGE_BACKED,D2,False,False
IV-000054,C00186,S0,True,HIGH,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,EXTRA_FINANCING,D3,True,False
IV-000055,C01078,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,STUDENT_LOAN,D1,False,False
IV-000056,C02309,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,HOME_LOAN,D1,False,False
IV-000057,C02193,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,CREDICHEQUE,D1,False,False
IV-000058,C00726,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_MORTGAGE_BACKED,D1,False,False
IV-000059,C01599,S3,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,PERSONAL_LOAN_PAYROLL_DEDUCTION,D3,True,False
IV-000060,C00955,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000061,C01247,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,CREDICHEQUE,D1,False,False
IV-000062,C00272,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000063,C02734,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D2,False,False
IV-000064,C02208,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000065,C01430,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,VEHICLE_LOAN,D1,False,False
IV-000066,C00750,S3,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000067,C01330,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000068,C00778,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D1,False,False
IV-000069,C01821,S0,True,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000070,C02871,S1,True,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D3,True,False
IV-000071,C00889,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000072,C01530,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,EXTRA_FINANCING,D2,False,False
IV-000073,C02938,S0,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,GUIDED_APP_HELP,PERSONAL_LOAN_ACCOUNT_DEBIT,D3,True,False
IV-000074,C02210,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000075,C00344,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000076,C01373,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D2,False,False
IV-000077,C02727,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000078,C02202,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,CREDICHEQUE,D1,False,False
IV-000079,C02837,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D1,False,False
IV-000080,C01477,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000081,C00965,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000082,C01271,S0,True,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,VEHICLE_LOAN,D2,False,False
IV-000083,C02296,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000084,C00118,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000085,C00476,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,EXTRA_FINANCING,D1,False,False
IV-000086,C02017,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000087,C00081,S0,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D1,False,False
IV-000088,C02759,S1,False,MEDIUM,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,PERSONAL_LOAN_ACCOUNT_DEBIT,D2,False,False
IV-000089,C00826,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D3,True,False
IV-000090,C01604,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,STUDENT_LOAN,D1,False,False
IV-000091,C02866,S0,False,MEDIUM,NO_CONTACT,CALL,FALLBACK_CALL,NO_CONTACT,SALARY_ADVANCE,D1,False,False
IV-000092,C00444,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D1,False,False
IV-000093,C00866,S0,True,MEDIUM,INTERVENE,WHATSAPP,MODEL_LEVEL1,CHANNEL_SWITCH,STUDENT_LOAN,D1,False,False
IV-000094,C00251,S1,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_PAYROLL_DEDUCTION,D1,False,False
IV-000095,C02545,S1,False,HIGH,NO_CONTACT,NONE,,NO_CONTACT,PERSONAL_LOAN_ACCOUNT_DEBIT,D1,False,False
IV-000096,C02597,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,OVERDRAFT_ELITE,D2,False,False
IV-000097,C02138,S1,False,HIGH,INTERVENE,CALL,FALLBACK_CALL,SIMPLE_REMINDER,SALARY_ADVANCE,D2,False,False
IV-000098,C02306,S0,True,HIGH,NO_CONTACT,NONE,,NO_CONTACT,STUDENT_LOAN,D1,False,False
IV-000099,C02393,S0,False,MEDIUM,NO_CONTACT,NONE,,NO_CONTACT,HOME_LOAN,D1,False,False
